,question,sql
3799,What is the fewest number of wins in the chart for Ayrton Senna?,SELECT MIN Wins FROM table WHERE Driver = ayrton senna
3800,When buffalo narrows is the name how many measurements of population density per kilometer squared are there?,SELECT COUNT Population density (per km²) FROM table WHERE Name = Buffalo Narrows
3801,"What is the highest attendance that has oakland raiders as the opponent, with a week greater than 9?",SELECT MAX Attendance FROM table WHERE Opponent = oakland raiders AND Week > 9
3802,Name the least lost with points more than 6 and games less than 5,SELECT MIN Lost FROM table WHERE Points > 6 AND Games < 5
3803,When 4.5 is the percentage of change how many population counts were made for 2011?,SELECT COUNT Population (2011) FROM table WHERE Change (%) = 4.5
3804,"What is the highest round of Ed Smith, who had a pick higher than 261 and played halfback?",SELECT MAX Round FROM table WHERE Pick < 261 AND Position = halfback AND Player = ed smith
3805,Which Wins is the lowest one that has Events larger than 30?,SELECT MIN Wins FROM table WHERE Events > 30
3806,How many states or District of Columbia have 65.4% overweight or obese adults?,SELECT COUNT State and District of Columbia FROM table WHERE Overweight (incl. obese) adults = 65.4%
3807,Record of 20–4 involved what highest game?,SELECT MAX Game FROM table WHERE Record = 20–4
3808,"How many original bills amendments cosponsored lower than 64,with the bill support withdrawn lower than 0?",SELECT MIN Original amendments cosponsored FROM table WHERE All bills sponsored < 64 AND Bill support withdrawn < 0
3809,How many values for population(2011) correspond to a 1.40% in 2006?,SELECT COUNT Population (2011) FROM table WHERE Percentage (2006) = 1.40%
3810,What is the highest number of bronze medals for nations with under 0 golds?,SELECT MAX Bronze FROM table WHERE Gold < 0
3811,Which Round is the lowest one that has a Circuit of donington?,SELECT MIN Round FROM table WHERE Circuit = donington
3812,How many original Australian performers are there when the Original West End Performer is Jordan Dunne?,SELECT COUNT Original Australian performer FROM table WHERE Original West End performer = Jordan Dunne
3813,"Which Top-5 is the highest one that has Wins of 0, and Events larger than 6?",SELECT MAX Top-5 FROM table WHERE Wins = 0 AND Events > 6
3814,Opponent of at san francisco 49ers had what lowest week?,SELECT MIN Week FROM table WHERE Opponent = at san francisco 49ers
3815,Name the number of poles for stefano livio category:articles with hcards,SELECT COUNT Poles FROM table WHERE Name = Stefano Livio Category:Articles with hCards
3816,"Which Events is the highest one that has a Top-10 larger than 7, and Wins smaller than 2?",SELECT MAX Events FROM table WHERE Top-10 > 7 AND Wins < 2
3817,Which Year is the lowest one that has a Length of 3:50?,SELECT MIN Year FROM table WHERE Length = 3:50
3818,Name the number of wins for michele rugolo category:articles with hcards,SELECT COUNT Wins FROM table WHERE Name = Michele Rugolo Category:Articles with hCards
3819,Which Game is the highest that has a January of 28?,SELECT MAX Game FROM table WHERE January = 28
3820,"Which Capacity is the lowest one that has a Rank smaller than 15, and a City of belgrade?",SELECT MIN Capacity FROM table WHERE Rank < 15 AND City = belgrade
3821,Name the number of apps for total g is 8,SELECT COUNT L Apps FROM table WHERE Total G = 8
3822,What is the highest number of silvers for ranks over 7?,SELECT MAX Silver FROM table WHERE Rank > 7
3823,"Which Capacity is the lowest one that has a City of brisbane, and a Rank smaller than 1?",SELECT MIN Capacity FROM table WHERE City = brisbane AND Rank < 1
3824,In how many countries is Itaipu a supply point for electricity?,SELECT COUNT Country FROM table WHERE Supply point = Itaipu
3825,Which Round is the highest one that has a Position of running back?,SELECT MAX Round FROM table WHERE Position = running back
3826,What's the shortest length from north klondike highway that has a length less than 326?,SELECT MIN Length (km) FROM table WHERE Name = north klondike highway AND Length (mi) < 326
3827,"what row is the  population of Latin America/Caribbean when Asia is 4,894 (46.1%)?","SELECT COUNT Latin America/Caribbean FROM table WHERE Asia = 4,894 (46.1%)"
3828,What is the maximum amount of time a shell travels at 55° when it traveled less than 9.6 seconds at 40°?,SELECT MAX Time to ft (m) at 55° (seconds) FROM table WHERE Time to ft (m) at 40° (seconds) < 9.6
3829,What is the lowest episode number where john bird was the 4th performer?,SELECT MIN Episode FROM table WHERE Performer 4 = john bird
3830,When joj agpangan* is the name how many duration's are there?,SELECT COUNT Duration FROM table WHERE Name = Joj Agpangan*
3831,"What is the highest attendance for the game that was before week 6 on October 22, 1967?","SELECT MAX Attendance FROM table WHERE Date = october 22, 1967 AND Week < 6"
3832,"What are the fewest partial failures associated with 1 launch, India, gslv type, and a Rocket of gslv mk ii?",SELECT MIN Partial failures FROM table WHERE Launches = 1 AND Country = india AND Type = gslv AND Rocket = gslv mk ii
3833,When davao city is the  home or representative town or province and clash 2010 is the edition how many ages are there?,SELECT COUNT Age FROM table WHERE Edition = Clash 2010 AND Home or representative town or province = Davao City
3834,What is the highest game that has april 21 as the date?,SELECT MAX Game FROM table WHERE Date = april 21
3835,What is the smallest amount of draws when the position is less than 7 and the against is 19?,SELECT MIN Drawn FROM table WHERE Position < 7 AND Against = 19
3836,When days 1-86 is the duration how many names are there?,SELECT COUNT Name FROM table WHERE Duration = Days 1-86
3837,Which game has more than 112 rebounds and a rank greater than 3?,SELECT MAX Games FROM table WHERE Rank > 3 AND Rebounds = 112
3838,What is the least amount of points when there were less than 4 losses and less than 16 against?,SELECT MIN Points FROM table WHERE Lost < 4 AND Against < 16
3839,"When guiguinto, bulacan is the  home or representative town or province how many names are there?","SELECT COUNT Name FROM table WHERE Home or representative town or province = Guiguinto, Bulacan"
3840,What was the highest season with Barwa International Campos Team as champion?,SELECT MAX Season FROM table WHERE Team Champion = barwa international campos team
3841,What was the earliest Year the Linto Team had less than 15 Points with more than 0 Wins?,SELECT MIN Year FROM table WHERE Wins > 0 AND Team = linto AND Points < 15
3842,How many different scores did Team Europe get when Mika Koivuniemi played for them?,SELECT COUNT Score FROM table WHERE Team Europe = Mika Koivuniemi
3843,What is the run rate for rank 4?,SELECT MAX Run Rate FROM table WHERE Rank = 4
3844,What is the lowest number of FA cups associated with 0 malaysia cups?,SELECT MIN FA Cup FROM table WHERE Malaysia Cup < 0
3845,How many years did Florida finish in 4th place?,SELECT COUNT Year FROM table WHERE 4th Place = Florida
3846,"What's the highest December against the Pittsburgh Penguins in a game larger than 27, with less than 41 points?",SELECT MAX December FROM table WHERE Game > 27 AND Opponent = pittsburgh penguins AND Points < 41
3847,What  kind of No Result  has a % Win of 100.00% and a Played larger than 4 in 2012?,SELECT MIN No Result FROM table WHERE % Win = 100.00% AND Played > 4 AND Year = 2012
3848,"What is the total number of 3rd placed teams when the host is University of Manitoba, Winnipeg, Manitoba?","SELECT COUNT 3rd Place FROM table WHERE Host = University of Manitoba, Winnipeg, Manitoba"
3849,"Which Points have a Lost smaller than 1, and Games larger than 7?",SELECT MAX Points FROM table WHERE Lost < 1 AND Games > 7
3850,"Score of 118–114, and a Record of 8–1 is what lowest game?",SELECT MIN Game FROM table WHERE Score = 118–114 AND Record = 8–1
3851,When 14 is the match number how many usa teams are there?,SELECT COUNT Team USA FROM table WHERE Match no. = 14
3852,Which Year of Issue has a Thickness of 1.42mm?,SELECT MAX Year of Issue FROM table WHERE Thickness = 1.42mm
3853,How many games has number 61 played in?,SELECT MIN Games↑ FROM table WHERE Number = 61
3854,When chris barnes is on team usa how many europe teams are there?,SELECT COUNT Team Europe FROM table WHERE Team USA = Chris Barnes
3855,What is the highest round in which a player was picked for the Center position?,SELECT MAX Round FROM table WHERE Position = center
3856,What is the smallest number of tries when Matt Diskin is the player and there are more than 16 points?,SELECT MIN Tries FROM table WHERE Player = matt diskin AND Points > 16
3857,How many clubs achieved the 5th position in 2012-13?,SELECT COUNT Top division titles FROM table WHERE Position in 2012–13 = 5th
3858,"1960 larger than 196, and a 1996[2] smaller than 726, and a 1980 larger than 125, and a 1990 larger than 848, what is the highest 1950?",SELECT MAX 1950 FROM table WHERE 1960 > 196 AND 1996[2] < 726 AND 1980 > 125 AND 1990 > 848
3859,What is the lowest lost from drawn of 1 or greater?,SELECT MIN Lost FROM table WHERE Drawn > 1
3860,What is the total number of gentle personalities?,SELECT COUNT 方位 Direction FROM table WHERE 性情 Personality = Gentle
3861,"1980 smaller than 719, and a 1960 smaller than 205, and a 1996[2] smaller than 364, and a 1970 larger than 251 is what 1990 highest?",SELECT MAX 1990 FROM table WHERE 1980 < 719 AND 1960 < 205 AND 1996[2] < 364 AND 1970 > 251
3862,What is the lowest laps a grid less than 22 with a time of +35.268 has?,SELECT MIN Laps FROM table WHERE Grid < 22 AND Time = +35.268
3863,How many boroughs with different ranks have a total Asian population of 33338?,SELECT COUNT Rank FROM table WHERE Total Asian Population = 33338
3864,What is the greatest points value that have draws under 2 and 2 losses?,SELECT MAX Points FROM table WHERE Drawn < 2 AND Lost = 2
3865,What is the lowest laps driver Christian Vietoris with a grid smaller than 6 has?,SELECT MIN Laps FROM table WHERE Driver = christian vietoris AND Grid < 6
3866,What's the bus width (in bit) of the model whose core is 650 MHz?,SELECT COUNT Bus Width ( Bit ) FROM table WHERE Core ( MHz ) = 650
3867,Which Games is the highest one that has a Drawn smaller than 0?,SELECT MAX Games FROM table WHERE Drawn < 0
3868,Which rating larger than 5 have the lowest amount of views in #3 rank with a share of 9?,SELECT MIN Viewers (millions) FROM table WHERE Weekly rank = #3 AND Share = 9 AND Rating > 5
3869,Featherstone Rovers club played a total of how many games?,SELECT COUNT Played FROM table WHERE Club = Featherstone Rovers
3870,"Attendance larger than 45,710, and a Venue of metropolitan stadium had what highest week?","SELECT MAX Week FROM table WHERE Attendance > 45,710 AND Venue = metropolitan stadium"
3871,What are the lowest laps of Graham Hill?,SELECT MIN Laps FROM table WHERE Driver = graham hill
3872,"How many times was the score 6–7(5), 6–2, 6–3?","SELECT COUNT Opponents FROM table WHERE Score = 6–7(5), 6–2, 6–3"
3873,"Which Females Rank is the highest one that has Females (%) larger than 53, and an HIV awareness (males%) smaller than 89, and a State of odisha?",SELECT MAX Females Rank FROM table WHERE Females (%) > 53 AND HIV awareness (males%) < 89 AND State = odisha
3874,What are the lowest laps of grid 17?,SELECT MIN Laps FROM table WHERE Grid = 17
3875,"state the number of surface where championship is australian open and score in the final is 6–3, 4–6, 11–9","SELECT COUNT Surface FROM table WHERE Championship = Australian Open AND Score in the final = 6–3, 4–6, 11–9"
3876,"Which Males Rank is the highest one that has Females (%) smaller than 40, and Females Rank smaller than 22?",SELECT MAX Males Rank FROM table WHERE Females (%) < 40 AND Females Rank < 22
3877,"Which Gain is the lowest one that has a Loss larger than 2, and an Avg/G larger than -6, and a Name of sheehan, tyler, and a Long larger than 11?","SELECT MIN Gain FROM table WHERE Loss > 2 AND Avg/G > -6 AND Name = sheehan, tyler AND Long > 11"
3878,how many first performances where performer is wilfred engelman category:articles with hcards,SELECT COUNT First performance FROM table WHERE Performer = Wilfred Engelman Category:Articles with hCards
3879,"Championship larger than 3, and a FA Cup smaller than 3, and a Total smaller than 6 involves what highest league cup?",SELECT MAX League Cup FROM table WHERE Championship > 3 AND FA Cup < 3 AND Total < 6
3880,"Which Avg/G is the lowest one that has a Long larger than 8, and a Loss smaller than 34, and a Gain larger than 16, and a Name of bullock, chris?","SELECT MIN Avg/G FROM table WHERE Long > 8 AND Loss < 34 AND Gain > 16 AND Name = bullock, chris"
3881,"How many different finales had the English title ""Beyond the Realm of Conscience""?",SELECT COUNT Finale FROM table WHERE English title = Beyond the Realm of Conscience
3882,What was john farrow's run 2 associated with a run 1 of greater than 52.25?,SELECT MAX Run 2 FROM table WHERE Run 1 > 52.25 AND Athlete = john farrow
3883,What is the fewest number of places for a skater from Norway with fewer than 1524.9 points?,SELECT MIN Places FROM table WHERE Nation = norway AND Points < 1524.9
3884,How many conflicts started in Afghanistan?,SELECT COUNT Start of conflict FROM table WHERE Location = Afghanistan
3885,Date of 7 september 1996 includes which highest rank athlete?,SELECT MAX Rank FROM table WHERE Date = 7 september 1996
3886,What is the lowest loss that Jarius Wright has had where he also has had a gain bigger than 1.,SELECT MIN Loss FROM table WHERE Name = jarius wright AND Gain > 1
3887,How many different original air dates does the episode with series number 13 have?,SELECT COUNT Original air date FROM table WHERE Series No. = 13
3888,"Faith of rc, and a Opened larger than 1966 which has the highest DCSF number?",SELECT MAX DCSF number FROM table WHERE Faith = rc AND Opened > 1966
3889,"Date of november 29, 1959 had what lowest attendance?","SELECT MIN Attendance FROM table WHERE Date = november 29, 1959"
3890,"When the launch date is 14.09.2005, and the frequency is 900mhz and 1800mhz, how many carriers are there?",SELECT COUNT Carrier FROM table WHERE Frequency = 900MHz and 1800MHz AND Launch date (dd.mm.yyyy) = 14.09.2005
3891,Name the most pick number for real salt lake and affiliation of ucla los angeles storm,SELECT MAX Pick # FROM table WHERE MLS Team = real salt lake AND Affiliation = ucla los angeles storm
3892,"What is the lowest figure for her age when the year of marriage is before 1853, the number of children is less than 8, and the bride was Eliza Maria Partridge?",SELECT MIN Her Age FROM table WHERE Year of Marriage < 1853 AND # of Children < 8 AND Name = eliza maria partridge
3893,"How many standards are there, when the launch date was 17.04.2006?",SELECT COUNT Standard FROM table WHERE Launch date (dd.mm.yyyy) = 17.04.2006
3894,What largest episode number's Netflix is S05E23?,SELECT MAX Episode FROM table WHERE Netflix = s05e23
3895,Which Year is the lowest one that has Wins smaller than 0?,SELECT MIN Year FROM table WHERE Wins < 0
3896,How many servers have a kernel version 3.11?,SELECT COUNT Servers FROM table WHERE Kernel Version = 3.11
3897,How many Attendances have a Score of 4 – 5? Question 4,SELECT MAX Attendance FROM table WHERE Score = 4 – 5
3898,"Who had the lowest 1st (m), ranked lower than 8, with an overall WC points (rank) of 369 (16) with more than 258.2 points?",SELECT MIN 1st (m) FROM table WHERE Rank < 8 AND Overall WC points (Rank) = 369 (16) AND Points > 258.2
3899,How many color systems has a bit rate of 5.734?,SELECT COUNT Color system FROM table WHERE Bit rate [ Mbit/s ] = 5.734
3900,What is the highest round for the pick from Finland?,SELECT MAX Round FROM table WHERE Nationality = finland
3901,"What is the lowest rank of a player with earnings under $11,936,443 and more than 16 wins?","SELECT MIN Rank FROM table WHERE Earnings ( $ ) < 11,936,443 AND Wins > 16"
3902,"For episode number 7, what was the numbers of original air dates?",SELECT COUNT Original air date FROM table WHERE # = 7
3903,What is the highest Feb value having an opponent of the Philadelphia Flyers and is after game 63?,SELECT MAX February FROM table WHERE Opponent = philadelphia flyers AND Game > 63
3904,What is the earliest date with Great Expectations label with LP format?,SELECT MIN Date FROM table WHERE Label = great expectations AND Format = lp
3905,"How many teams won $2,089,556?","SELECT COUNT Wins FROM table WHERE Winnings = $2,089,556"
3906,Which Year Inducted is the highest one that has a Year smaller than 1965?,SELECT MAX Year Inducted FROM table WHERE Year < 1965
3907,Record of 0–8 had what lowest week?,SELECT MIN Week FROM table WHERE Record = 0–8
3908,HOw many top 5 starts did the team with an average start of 17.7 have?,SELECT COUNT Top 5 FROM table WHERE Avg. Start = 17.7
3909,"Which Overall is the highest one that has a Pick # smaller than 9, and a Name of mike pearson?",SELECT MAX Overall FROM table WHERE Pick # < 9 AND Name = mike pearson
3910,"What is the lowest grid of pkv racing, which had 13 points and less than 64 laps?",SELECT MIN Grid FROM table WHERE Team = pkv racing AND Points = 13 AND Laps < 64
3911,How many 1st leg have team 1 ofk belgrade?,SELECT COUNT 1st leg FROM table WHERE Team 1 = OFK Belgrade
3912,What is the most number of losses for teams with 5 wins and an against value under 1607?,SELECT MAX Losses FROM table WHERE Wins = 5 AND Against < 1607
3913,"When was chuck morris, back, drafted?",SELECT MIN Pick FROM table WHERE Position = back AND Player = chuck morris
3914,how many total where last/current driver(s) is narain karthikeyan ( 2010 ),SELECT COUNT Total FROM table WHERE Last/current driver(s) = Narain Karthikeyan ( 2010 )
3915,What Vancouver canucks game was on a date closest to November 4?,SELECT MAX Game FROM table WHERE Opponent = vancouver canucks AND November < 4
3916,what is the lowest capacity in grodno,SELECT MIN Capacity FROM table WHERE Location = grodno
3917,How many numbers were recorded for Qatari female when Qatari male was 97?,SELECT COUNT Qatari Female FROM table WHERE Qatari Male = 97
3918,Which is the highest Season with a Percentage of 67% and Alberto Ascari as a Driver?,SELECT MAX Season FROM table WHERE Percentage = 67% AND Driver = alberto ascari
3919,What is the lowest number of people attending the game on May 30 with Colorado as the visitors?,SELECT MIN Attendance FROM table WHERE Visitor = colorado AND Date = may 30
3920,How many years were there 97 qatari male births?,SELECT COUNT Year FROM table WHERE Qatari Male = 97
3921,Which Round is the highest one that has a College/Junior/Club Team (League) of torpedo yaroslavl (rus)?,SELECT MAX Round FROM table WHERE College/Junior/Club Team (League) = torpedo yaroslavl (rus)
3922,What is the lowest number of people attending the game where Colorado was the home team?,SELECT MIN Attendance FROM table WHERE Home = colorado
3923,How many runner-ups when Jason Crump placed 3rd?,SELECT COUNT Runner-up FROM table WHERE 3rd placed = Jason Crump
3924,"What is the highest attendance for the game after week 1 on November 12, 1961?","SELECT MAX Attendance FROM table WHERE Week > 1 AND Date = november 12, 1961"
3925,What is the lowest round that Adam Wiesel was picked?,SELECT MIN Round FROM table WHERE Player = adam wiesel
3926,How many placed 4th on April 25?,SELECT COUNT 4th placed FROM table WHERE Date = April 25
3927,What is listed as the highest Points that's got a Position that's smaller than 1?,SELECT MAX Points FROM table WHERE Position < 1
3928,"Which 1st (m) is the lowest one that has a Nationality of aut, and Points larger than 273.5?",SELECT MIN 1st (m) FROM table WHERE Nationality = aut AND Points > 273.5
3929,Name the best uk team for university of birmingham,SELECT COUNT Best UK team FROM table WHERE Class 1-200 = University of Birmingham
3930,"What is the highest Played that's for the Team of Cerro Porteño, with a Position that's larger than 1?",SELECT MAX Played FROM table WHERE Team = cerro porteño AND Position > 1
3931,"Which 2nd (m) is the lowest one that has a Rank larger than 3, and a 1st (m) larger than 140.5?",SELECT MIN 2nd (m) FROM table WHERE Rank > 3 AND 1st (m) > 140.5
3932,Name the total location for dynamic events winner,SELECT COUNT Location FROM table WHERE Class 1-200 = Dynamic Events Winner
3933,Which Extra points 1 point is the highest one that has a Total Points smaller than 8?,SELECT MAX Extra points 1 point FROM table WHERE Total Points < 8
3934,What is the fewest number of wins when he has 3 poles in 2010?,SELECT MIN Wins FROM table WHERE Poles = 3 AND Season = 2010
3935,Name the original air date for production code of 3t7501,SELECT COUNT Original air date FROM table WHERE Production code = 3T7501
3936,What is the Pick # with an Overall of 19?,SELECT MAX Pick # FROM table WHERE Overall = 19
3937,What is the lowest number of wins with more than 113 points in 4th rank?,SELECT MIN Wins FROM table WHERE Points > 113 AND Rank = 4th
3938,How many places did the rank change since 22006 for County Leitrim? ,SELECT COUNT Change since 2006 FROM table WHERE County = County Leitrim
3939,"What's the highest Loses, with Wins that's larger than 3 and a Pos. Larger than 3?",SELECT MAX Loses FROM table WHERE Wins > 3 AND Pos. > 3
3940,Which year is the lowest one when the playoffs did not qualify?,SELECT MIN Year FROM table WHERE Playoffs = did not qualify
3941,How many QB ratings for the player with 1069 completions?,SELECT COUNT QB Rating FROM table WHERE Completions = 1069
3942,"Which Bronze has a Total of 11, and a Silver smaller than 6?",SELECT MAX Bronze FROM table WHERE Total = 11 AND Silver < 6
3943,Tell me the least season with level less than 1,SELECT MIN Season FROM table WHERE Level < 1
3944,How many yardage figures for the player with 72.3 QB rating?,SELECT COUNT Yards FROM table WHERE QB Rating = 72.3
3945,"Which Points is the highest one that has a Position smaller than 4, and a Team of são paulo, and Drawn larger than 12?",SELECT MAX Points FROM table WHERE Position < 4 AND Team = são paulo AND Drawn > 12
3946,What is the lowest number of games with less than 1 loss?,SELECT MIN Games FROM table WHERE Lost < 1
3947,In how many locations was the game against Barcelona Dragons played?,SELECT COUNT Game site FROM table WHERE Opponent = Barcelona Dragons
3948,What are the highest number of games drawn for games numbered under 6?,SELECT MAX Drawn FROM table WHERE Games < 6
3949,What is listed as the lowest Year with a Wins that's smaller than 0?,SELECT MIN Year FROM table WHERE Wins < 0
3950,how many posiitions did saudi arabia land on,SELECT COUNT Pos FROM table WHERE Member Association = Saudi Arabia
3951,"Which Total Cargo (Metric Tonnes) is the highest one that has a Rank smaller than 4, and an Airport of shanghai pudong international airport?",SELECT MAX Total Cargo (Metric Tonnes) FROM table WHERE Rank < 4 AND Airport = shanghai pudong international airport
3952,"What is the lowest density of a town with a 13,708 2011 population census ?","SELECT MIN Density FROM table WHERE Population 2011 census = 13,708"
3953,which group stage was there 0 play-offs and 12 clubs played in it,SELECT COUNT Group stage FROM table WHERE Play-off = 0 AND Clubs = 12
3954,"Which Facility ID has a City of license of springfield, ma, and a ERP / Power W smaller than 230?","SELECT MAX Facility ID FROM table WHERE City of license = springfield, ma AND ERP / Power W < 230"
3955,What was the lowest FA Cup for a Malaysia Cup of 0?,SELECT MIN FA Cup FROM table WHERE Malaysia Cup < 0
3956,"how many people directed the episode that is called ""dead inside""","SELECT COUNT Directed by FROM table WHERE Title = ""Dead Inside"""
3957,What is the highest number of points that has a 1st of 121.5?,SELECT MAX Points FROM table WHERE 1st (m) = 121.5
3958,What is Zamri Hassan's lowest Malaysia Cup when there were an FA Cup of 0?,SELECT MIN Malaysia Cup FROM table WHERE Player = zamri hassan AND FA Cup < 0
3959,How many house colours are associated with house names of Hillary?,SELECT COUNT House colour FROM table WHERE House name = Hillary
3960,"With a Total of less than 29, what is Ian Ryan's most Matches?",SELECT MAX Matches FROM table WHERE Player = ian ryan AND Total < 29
3961,What is the lowest league for the Malaysia Cup when it was larger than 0?,SELECT MIN League FROM table WHERE Malaysia Cup > 0
3962,How many house mascots are associated with yellow house colours?,SELECT COUNT House mascot FROM table WHERE House colour = Yellow
3963,Name the most points for class of 125cc and team of mv agusta with year more than 1957,SELECT MAX Points FROM table WHERE Class = 125cc AND Team = mv agusta AND Year > 1957
3964,How many Bronze medals did Switzerland with less than 3 Silver medals receive?,SELECT MIN Bronze FROM table WHERE Nation = switzerland AND Silver < 3
3965,When 1180 am is the frequency how many call signs are there?,SELECT COUNT Call sign FROM table WHERE Frequency = 1180 AM
3966,"What is the largest week number for the venue of League Park for the date of November 25, 1920?","SELECT MAX Week FROM table WHERE Venue = league park AND Date = november 25, 1920"
3967,What is the least amount of Silver medals that have more than 3 Bronze?,SELECT MIN Silver FROM table WHERE Bronze > 3
3968,How many drivers does India have/,SELECT COUNT Total Drivers FROM table WHERE Country = India
3969,"During the Apple Bowl having 0 championships, what was the established year?",SELECT MAX Established FROM table WHERE Championships = 0 AND Venue = apple bowl
3970,Which ERP W is the lowest one that has a Frequency MHz of 91.3?,SELECT MIN ERP W FROM table WHERE Frequency MHz = 91.3
3971,How many championships does Pakistan have?,SELECT COUNT Championships FROM table WHERE Country = Pakistan
3972,How many championships does Evergreen Premier League have?,SELECT MAX Championships FROM table WHERE League = evergreen premier league
3973,Which Attendance has a Record of 34–51?,SELECT MIN Attendance FROM table WHERE Record = 34–51
3974,"How many countries have 2 current drivers as of March 20, 2010?","SELECT COUNT Total Drivers FROM table WHERE Current March 20, 2010 = 2"
3975,What is the highest earnings for Tom watson who had a ranking larger than 2?,SELECT MAX Earnings ( $ ) FROM table WHERE Player = tom watson AND Rank > 2
3976,"Which Edges have a Dual Archimedean solid of truncated icosidodecahedron, and Vertices larger than 62?",SELECT MIN Edges FROM table WHERE Dual Archimedean solid = truncated icosidodecahedron AND Vertices > 62
3977,Name the number of developed by for solid edge,SELECT COUNT Developed by FROM table WHERE Application = Solid Edge
3978,"What is the highest rank for the player who earns $4,263,133?","SELECT MAX Rank FROM table WHERE Earnings ( $ ) = 4,263,133"
3979,What is the lowest round number that Ian Forbes was picked in the draft?,SELECT MIN Round FROM table WHERE Player = ian forbes
3980,"Name the number of application for modeling, computer aided design, animation","SELECT COUNT Application FROM table WHERE Mainly Used For = Modeling, Computer Aided Design, Animation"
3981,"What is the highest number of wins for Tom Watson who earns less than $4,974,845?","SELECT MAX Wins FROM table WHERE Player = tom watson AND Earnings ( $ ) < 4,974,845"
3982,Which Game is the lowest one that has Points smaller than 92?,SELECT MIN Game FROM table WHERE Points < 92
3983,"If the title if the Lost Boy, how many directors were there?",SELECT COUNT Directed by FROM table WHERE Title = The Lost Boy
3984,What is the highest earnings for curtis strange?,SELECT MAX Earnings ( $ ) FROM table WHERE Player = curtis strange
3985,What is the lowest attendance of a game that has the result of 2-0?,SELECT MIN Attendance FROM table WHERE Result = 2-0
3986,How many authors are present when the original was Carry On?,SELECT COUNT Authors FROM table WHERE Original = Carry On
3987,"Which Effic is the highest one that has an Avg/G smaller than 305.6, and a GP-GS of 13-13?",SELECT MAX Effic FROM table WHERE Avg/G < 305.6 AND GP-GS = 13-13
3988,Which Games↑ is the lowest one that has a Position of wlb?,SELECT MIN Games↑ FROM table WHERE Position = wlb
3989,What is the arena capacity of the arena in the town whose head coach is Yuriy Korotkevich?,SELECT COUNT Arena (capacity) FROM table WHERE Head Coach = Yuriy Korotkevich
3990,What is the largest number for tropical Lows for the 1990–91 season with more than 10 tropical cyclones?,SELECT MAX Tropical Lows FROM table WHERE Season = 1990–91 AND Tropical Cyclones > 10
3991,Which Games↑ is the lowest one that has a Number of 98?,SELECT MIN Games↑ FROM table WHERE Number = 98
3992,How many point categories are there for the 3 mile run? ,SELECT COUNT Points FROM table WHERE Mile Run = 3
3993,What's the highest capacity for a position of 5 in 2004?,SELECT MAX Capacity FROM table WHERE Position in 2004 = 5
3994,"What week ended in a result of w 30-3, and had an attendance less than 62,795?","SELECT MIN Week FROM table WHERE Result = w 30-3 AND Attendance < 62,795"
3995,What is the indoor number for the NER region? ,SELECT COUNT Indoor FROM table WHERE Region = NER
3996,What is the highest round of the player with a pick number lower than 34?,SELECT MAX Round FROM table WHERE Pick # > 34
3997,What is the lowest population associated with a Regional Percentage of Population of 2.95?,SELECT MIN Total Population FROM table WHERE Regional Percentage of Population = 2.95
3998,How many scorecards are there for the match on October 28? ,SELECT COUNT Scorecard FROM table WHERE Date = October 28
3999,What is the highest overall of the player from Georgia?,SELECT MAX Overall FROM table WHERE College = georgia
4000,"Which Goals is the lowest one that has Matches of 16, and a Scorer of park sang-in?",SELECT MIN Goals FROM table WHERE Matches = 16 AND Scorer = park sang-in
4001,How many venues were there for the match on November 6? ,SELECT COUNT Venue FROM table WHERE Date = November 6
4002,What are the most yards for 2 sacks and an average greater than 0?,SELECT MAX Yards FROM table WHERE Sacks = 2 AND Average > 0
4003,What is the oldest year that the location was at Guangzhou?,SELECT MIN Year FROM table WHERE Location = guangzhou
4004,What is the total number of capitals that have an area of exactly 1104 square km?,SELECT COUNT Capital FROM table WHERE Area km² = 1104
4005,What is listed as the highest Year that's also got a Bronze of Wataru Haraguchi?,SELECT MAX Year FROM table WHERE Bronze = wataru haraguchi
4006,What is the smallest amount of touchdowns when there is a total player and a number of field goals of more than 0?,SELECT MIN Touchdowns FROM table WHERE Player = total AND Field goals > 0
4007,How many populations have a capital of Hong Kong?,SELECT COUNT Population FROM table WHERE Capital = Hong Kong
4008,"Which FA Cup is the highest one that has a Malaysia Cup of 0, and a Player of ahmad fouzee masuri, and a Total larger than 0?",SELECT MAX FA Cup FROM table WHERE Malaysia Cup = 0 AND Player = ahmad fouzee masuri AND Total > 0
4009,"Events of 22, and a Rank smaller than 4 involved which of the lowest earnings ($)?",SELECT MIN Earnings ( $ ) FROM table WHERE Events = 22 AND Rank < 4
4010,How many % same-sex marriages are there for the year 2008?,SELECT COUNT % same-sex marriages FROM table WHERE Year = 2008
4011,"Which Year is the highest one that has a Venue of edmonton, canada?","SELECT MAX Year FROM table WHERE Venue = edmonton, canada"
4012,"Events larger than 22, and a Earnings ( $ ) of 1,543,192, and a Rank smaller than 2 has the lowest wins?","SELECT MIN Wins FROM table WHERE Events > 22 AND Earnings ( $ ) = 1,543,192 AND Rank < 2"
4013,How many % same-sex marriages are marriages between men for 923? ,SELECT COUNT % same-sex marriages FROM table WHERE Marriages between men = 923
4014,"How many points are associated with over 1 top 5, 1 win, over 0 poles, and andrew ranger as the driver?",SELECT MAX Points FROM table WHERE Top 5's > 1 AND Wins = 1 AND Poles > 0 AND Driver = andrew ranger
